quantile,prob,median_rho,q025,q975,rater
Q90,0.9,0.717684168762166,0.690685681796235,0.742034222420045,google_gemini-2.5-flash-lite
Q25,0.25,0.133999308789318,0.123220655403884,0.148182990313789,google_gemma-3-12b-it
Q50,0.5,0.351426896009153,0.329231969795818,0.3851456942441,google_gemma-3-12b-it
Q75,0.75,0.677208913292326,0.651580330076948,0.706657404388647,google_gemma-3-12b-it
Q90,0.9,0.792591830612613,0.772800221573359,0.812478071334118,google_gemma-3-12b-it
Q25,0.25,0.0509249557782905,0.0475677234068317,0.0544827082842014,gss
Q50,0.5,0.111718091568786,0.106662281581311,0.117467935583319,gss
Q75,0.75,0.204904060691732,0.196821593029015,0.213265961610693,gss
Q90,0.9,0.306996570244915,0.296461815052806,0.315473517696278,gss
Q25,0.25,0.0574108274867264,0.0525310983604007,0.0629499051297868,meta-llama_llama-3.1-8b-instruct
Q50,0.5,0.125519225812856,0.116078096932492,0.134002092685109,meta-llama_llama-3.1-8b-instruct
Q75,0.75,0.229908646647989,0.214574754400216,0.242751392137385,meta-llama_llama-3.1-8b-instruct
Q90,0.9,0.376468098491225,0.354421461423283,0.397296277462241,meta-llama_llama-3.1-8b-instruct
Q25,0.25,0.157591858052003,0.140975928571286,0.174097241313971,meta-llama_llama-3.3-70b-instruct
Q50,0.5,0.382647332010566,0.350302305282984,0.417598889719777,meta-llama_llama-3.3-70b-instruct
Q75,0.75,0.688538330502822,0.656205185630468,0.715968514406058,meta-llama_llama-3.3-70b-instruct
Q90,0.9,0.79446072314222,0.773328360276519,0.815956704797616,meta-llama_llama-3.3-70b-instruct
Q25,0.25,0.138552638777403,0.127734682499925,0.151391891133253,meta-llama_llama-4-maverick
Q50,0.5,0.309506924938598,0.289275920964047,0.328563801483707,meta-llama_llama-4-maverick
Q75,0.75,0.608033060476358,0.580693860680487,0.634979775491787,meta-llama_llama-4-maverick
Q90,0.9,0.745917785732056,0.725958014447636,0.767860270009757,meta-llama_llama-4-maverick
Q25,0.25,0.15119954453864,0.137174835963507,0.164686097275988,mistralai_mistral-large-2512
Q50,0.5,0.392927015776157,0.371208027878887,0.416265152908129,mistralai_mistral-large-2512
Q75,0.75,0.722812637162418,0.702890427522306,0.739217435226978,mistralai_mistral-large-2512
Q90,0.9,0.81587664317391,0.80084883978743,0.829547278100558,mistralai_mistral-large-2512
Q25,0.25,0.164334275576568,0.151771624917856,0.175980627167458,mistralai_mistral-medium-3.1
Q50,0.5,0.435502084888966,0.408018805381078,0.46171613979813,mistralai_mistral-medium-3.1
Q75,0.75,0.711310763792337,0.691529135841403,0.728038051886077,mistralai_mistral-medium-3.1
Q90,0.9,0.808889520882502,0.794228849576871,0.822704243765018,mistralai_mistral-medium-3.1
Q25,0.25,0.0729048554385252,0.0666602674778113,0.0795307579542206,mistralai_mistral-nemo
Q50,0.5,0.163504928265089,0.151962845803623,0.174810987294281,mistralai_mistral-nemo
Q75,0.75,0.341388714170634,0.323203102306167,0.358233214849315,mistralai_mistral-nemo
Q90,0.9,0.542180409801397,0.51883572219828,0.563921712374115,mistralai_mistral-nemo
Q25,0.25,0.109252051995821,0.0961791055464112,0.123792683133776,mistralai_mistral-small-3.2-24b-instruct
Q50,0.5,0.278329172042447,0.25639626304852,0.303460797131599,mistralai_mistral-small-3.2-24b-instruct
Q75,0.75,0.573423914598123,0.549442409919456,0.598664640148069,mistralai_mistral-small-3.2-24b-instruct
Q90,0.9,0.69970245410087,0.679863933761866,0.720160485146733,mistralai_mistral-small-3.2-24b-instruct
Q25,0.25,0.128922270056214,0.117489525223613,0.14030412042209,moonshotai_kimi-k2
Q50,0.5,0.313663468314375,0.292727973276166,0.339822591843541,moonshotai_kimi-k2
Q75,0.75,0.676725078185211,0.654292964571074,0.69787842592033,moonshotai_kimi-k2
Q90,0.9,0.799457906166746,0.78259465669642,0.815818295680099,moonshotai_kimi-k2
Q25,0.25,0.141961291059225,0.130207717794264,0.154047076940966,openai_gpt-4o-mini
Q50,0.5,0.361939830615078,0.3409691786287,0.385641357235456,openai_gpt-4o-mini
Q75,0.75,0.651185688455178,0.631563254852521,0.66933475078935,openai_gpt-4o-mini
Q90,0.9,0.788887915662858,0.772614148530655,0.804320476724407,openai_gpt-4o-mini
Q25,0.25,0.171140366776845,0.160083302176587,0.181780741191274,openai_gpt-5
Q50,0.5,0.450433893692392,0.429152389337188,0.47388902720592,openai_gpt-5
Q75,0.75,0.710425530531509,0.690535979307527,0.727893158256695,openai_gpt-5
Q90,0.9,0.816338568154243,0.802685668952425,0.829706531940887,openai_gpt-5
Q25,0.25,0.150040053914046,0.138971768019285,0.162085252972339,openai_gpt-5-mini
Q50,0.5,0.462156270386172,0.439069893031816,0.487242885438945,openai_gpt-5-mini
Q75,0.75,0.729659407725384,0.713646315262411,0.747660277702447,openai_gpt-5-mini
Q90,0.9,0.822572894969134,0.809444398525539,0.836402362879067,openai_gpt-5-mini
Q25,0.25,0.109361886689893,0.0961765394270024,0.122992401931389,openai_gpt-oss-120b
Q50,0.5,0.269930276207645,0.244657965120527,0.294767008932205,openai_gpt-oss-120b
Q75,0.75,0.555882470918089,0.523901808795987,0.582665461008631,openai_gpt-oss-120b
Q90,0.9,0.682068941057881,0.653509697211129,0.703001886979014,openai_gpt-oss-120b
Q25,0.25,0.145935434429747,0.132835163367931,0.160815732309533,qwen_qwen-2.5-72b-instruct
Q50,0.5,0.335094567374004,0.314633591766454,0.356564809272685,qwen_qwen-2.5-72b-instruct
Q75,0.75,0.602116179184911,0.57882959511116,0.622245595888746,qwen_qwen-2.5-72b-instruct
Q90,0.9,0.760684943458352,0.741203318403209,0.778742509840728,qwen_qwen-2.5-72b-instruct
Q25,0.25,0.139481304338531,0.123445330769515,0.154800834208482,qwen_qwen3-235b-a22b-2507
Q50,0.5,0.323143663248829,0.295164003061521,0.354375172561652,qwen_qwen3-235b-a22b-2507
Q75,0.75,0.654541816486049,0.612126011168329,0.68307276165586,qwen_qwen3-235b-a22b-2507
Q90,0.9,0.792161167436878,0.759233799354274,0.814168298574954,qwen_qwen3-235b-a22b-2507
Q25,0.25,0.174314057546581,0.158590880238651,0.191050990099176,x-ai_grok-4-fast
Q50,0.5,0.420792224713642,0.395410158057931,0.444965985665798,x-ai_grok-4-fast
Q75,0.75,0.744049286507808,0.715150050436952,0.766952938885525,x-ai_grok-4-fast
Q90,0.9,0.838898544544562,0.816957884763374,0.854290807870046,x-ai_grok-4-fast
Q25,0.25,0.129926917788057,0.120438249262036,0.140061208461969,z-ai_glm-4.6
Q50,0.5,0.308675097501545,0.293029345467791,0.324534040937014,z-ai_glm-4.6
Q75,0.75,0.56836044848567,0.547252087606813,0.590335810834632,z-ai_glm-4.6
Q90,0.9,0.702316146718912,0.681448018060195,0.721666162248388,z-ai_glm-4.6
